"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"ARHGAP22",6.56941358672577,6.6875258456392,6.52803117960044,5.87222852057498,6.02432285252927,6.02478914303999
"POU3F3",4.324542245385,4.34564129153607,4.26114373424176,4.5545027293393,4.53350182932538,4.43502695977719
"PLEKHG2",7.5597021163551,7.42897730669758,7.58412409705643,7.62114758350778,7.53691249318829,7.37286790004956
"HNRNPCL1",3.49566695838687,3.64003063497597,3.4493461895006,3.54211406472936,3.595187279544,3.40113986370807
"DEPDC5",6.17987723815511,6.33854964062592,6.24083286195447,5.83072360011946,6.00037224004948,5.74422751626588
"DEPDC5",3.94267661184362,4.02843601320775,4.11316188788195,4.17558187769849,3.96995404134557,4.21565934107148
"KRTAP10-12",9.22204384239312,9.35000624921749,9.24898675020133,9.2768553810923,9.25057976418074,9.13852590963376
"KRTAP10-1",7.73199936409494,7.750823791957,7.75811283899752,7.78432146647019,7.66499551947196,7.63255989599938
"KRTAP10-3",8.87811174866563,8.77294836286987,8.88656673603708,8.95943702635427,8.74641532189678,8.84192793602834
"TDRKH",5.57569849651298,5.71975740477119,5.96641267093581,5.55309724960785,5.3788325782447,5.23007272062668
"TDRKH",7.18964579632804,7.23080391267211,7.20738938310856,6.48580330808146,6.47717783997387,6.71435429081244
"OR2A14",8.85523843642096,8.76223362009954,8.79462230495388,8.79272875343147,8.79160113513269,8.62431578861518
"KRTAP19-1",3.744071874252,3.60623582625318,3.92379372281343,3.97435268059355,3.76663602709151,3.74944367278956
"CGB1 /// CGB2",3.01701862374528,2.72843292905655,2.75258517826769,2.91486788411138,2.91486788411138,2.95510366425183
"KRTAP10-9",8.20372095663299,8.13884041539227,8.26060538403161,8.24561010124054,8.20588832850789,8.03961857880114
"FAM86C1",8.08764533966878,8.02349991549835,8.05230779160762,8.64790655717556,8.59537395971131,8.71627207903417
"ZNF391",3.74520763518579,3.79188276284498,3.90244267672098,4.32250167261124,3.99126522109858,4.17927211328231
"RPL38",12.2188216449337,12.2179180317435,12.2550654465329,12.351083329466,12.2147642508503,12.0765260724373
"PRB1",5.41815677520861,5.57533347304081,5.71995439199429,6.25633072212714,6.4199226653958,6.41212437460333
"PRB1",4.37000224147226,4.39416621659392,4.31474599307418,5.20908099415903,5.4841089670816,5.26134216306173
"PRB1",4.12601489511358,3.95954825000247,4.15623085056851,5.108332794052,5.3603346840007,5.23037841087561
"H3F3C",2.90114952603602,2.79125412257267,2.8411631230265,2.80283245356739,2.70904581128046,2.81217923467268
"H3F3B /// H3F3C",13.5678315816034,13.5536809005387,13.6126134514533,13.772170794064,13.7517782719549,13.7246330895954
"FAM221A",3.63906240427002,3.78233364495677,3.56709968101562,4.08418537287557,4.16889251544335,4.20514365254131
"FAM221A",3.77720095122677,3.76218389304038,3.74235362640945,4.16235673030833,4.20505773635761,4.18762772823077
"FAM221A",3.38551734258021,3.48112934482909,3.26232168823174,3.69441316711306,3.74832344432515,3.74457041753254
"UNCX",7.73763522605246,7.68172616521651,7.62043076903401,7.62043076903401,7.63086645969825,7.59932827966345
"ZNF835",5.20293538576822,5.16272726320987,5.16441392340395,5.27005675857289,5.20124872557415,5.1604492583657
"IMPACT",7.20223624569272,7.08752514606754,7.21157679636891,7.11941850910084,6.99527214027289,7.01782577405574
