"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PXT1",-0.389559359199799,5.44101999877447,-8.79147892740109,4.29954504121987e-05,0.00013637407234343,1.39478779587252
"EIF2AK4",0.376897664021657,6.82977043677736,8.78752317886192,4.31238944110115e-05,0.000136759876101493,1.39143393713685
"PLA2G12A",0.366018190590134,7.24805039249725,8.78714227237405,4.31362853579829e-05,0.000136777574223197,1.39111092111455
"HSPD1",0.388493758111622,10.4978832275972,8.78614128839948,4.31688666730215e-05,0.000136859276757848,1.39026201164726
"PRRT2",0.527855534975922,6.03479583266729,8.78344797013066,4.32566702001373e-05,0.000137115998153339,1.38797747419703
"SDHB",0.344803650229682,10.2258512537848,8.78109229183482,4.33336316944657e-05,0.00013733827662169,1.38597885088238
"USP6NL",0.294358586623547,6.15995917762263,8.78045896682545,4.33543491618155e-05,0.000137382257583765,1.38544144378494
"MON2",-0.397819446967257,7.31945974371328,-8.77976597140051,4.33770313850602e-05,0.000137432449650978,1.38485336630533
"MFSD13A",0.327645868407951,6.4999240901208,8.77939729314646,4.33891039368488e-05,0.000137449016319822,1.38454048929452
"UBE3A",-0.37228052814333,8.35913183255358,-8.77891767595467,4.34048149125845e-05,0.00013747710183005,1.384133448054
"MYH9",-0.331425278472564,9.76348998198896,-8.777958582833,4.34362514895533e-05,0.000137554978700124,1.38331942970174
"BCKDHB",0.431331115924212,6.21273640785535,8.77606968221212,4.34982398759307e-05,0.000137729567975436,1.38171603138699
"ABHD13",-0.398752280988912,7.24784162047176,-8.7685296911201,4.37466773589415e-05,0.000138494367603559,1.37531281497243
"EVL",0.408405869182296,5.91685375905663,8.76419879118364,4.3890101094885e-05,0.000138926523308065,1.37163278712917
"METTL20",-0.447606200346695,4.44054227434107,-8.76376203667198,4.39045942449383e-05,0.000138950499655742,1.37126158622554
"HSPA13",0.302648995559087,8.99604191195428,8.76328045103124,4.39205813187941e-05,0.00013897919571556,1.37085226509713
"CRAMP1",-0.348395776495015,7.50816315908717,-8.76193842622076,4.39651668296215e-05,0.000139098363359502,1.36971151916904
"FAM227B",-0.341257185981077,3.55435705200904,-8.76143780083685,4.39818119648741e-05,0.000139129108757683,1.36928594094939
"KRTAP4-11",-0.552575704517146,4.88307161990081,-8.76044065855648,4.40149868197828e-05,0.000139212125242286,1.36843821658394
"ASB3 /// GPR75-ASB3",-0.389154015740003,8.85696425671629,-8.75866632117512,4.4074088733136e-05,0.000139348873112236,1.36692955747986
"REEP2",0.383222587776627,6.97909462895764,8.75855745312527,4.40777179642996e-05,0.000139348873112236,1.3668369823455
"ABHD10",0.318004547161019,9.07457279671325,8.75845892195186,4.40810028954298e-05,0.000139348873112236,1.36675319626841
"RPE",0.278047164320933,9.51270737381466,8.75830977327809,4.40859758890234e-05,0.000139348873112236,1.366626366054
"WNT7A",0.498472456462155,5.48582151447385,8.75738096395724,4.41169589847699e-05,0.000139424862981923,1.36583650224137
"ZBTB44",0.441052404252884,7.18386746838168,8.75191280921253,4.42998637112634e-05,0.000139980878347548,1.3611849389352
"ALDH2",0.597314014373614,6.84439062799719,8.75001756554925,4.43634573687481e-05,0.000140138109066326,1.35957215675684
"IFT88",-0.578960650965845,6.01934328526574,-8.75001397796985,4.43635778452352e-05,0.000140138109066326,1.35956910358307
